0;0;0;0;0;0;0;0;2;0;佣兵;
0;1;1;1;0;0;0;0;3;0;佣兵女;
1;2;2;0;0;1;1;0;2;0;勇者;
1;3;3;1;0;1;1;0;3;0;勇者女;
2;4;6;2;1;2;2;0;6;0;剑士;
2;5;7;3;1;2;2;0;7;0;剑士女;
3;6;8;2;1;3;3;0;6;0;剑圣;
3;7;9;3;1;3;3;0;7;0;剑圣女;
4;8;12;4;2;4;4;0;10;0;弓箭手;
4;9;13;5;2;4;4;0;11;0;弓箭手女;
5;10;14;4;2;5;5;0;10;0;狙击手;
5;11;15;5;2;5;5;0;11;0;狙击手女;
6;12;18;6;3;6;6;0;14;0;重甲骑士;
6;13;19;7;3;6;6;0;15;0;重甲骑士女;
7;14;20;6;3;7;7;0;14;0;将军;
7;15;21;7;3;7;7;0;15;0;将军女;
8;16;24;8;4;8;8;0;18;0;轻骑士;
8;17;25;9;4;8;8;0;19;0;轻骑士女;
9;18;26;8;4;9;9;0;18;0;圣骑士;
9;19;27;9;4;9;9;0;19;0;圣骑士女;
10;20;30;10;5;10;10;0;20;0;重骑士;
10;21;31;11;5;10;10;0;21;0;重骑士女;
11;22;34;12;6;11;11;0;24;0;盗贼;
11;23;35;13;6;11;11;0;25;0;盗贼女;
12;24;36;12;6;12;12;0;24;0;侠盗;
12;25;37;13;6;12;12;0;25;0;侠盗女;
13;26;40;14;7;13;13;0;26;0;刺客;
13;27;41;15;7;13;13;0;27;0;刺客女;
14;28;44;16;8;14;14;0;30;0;枪兵;
14;29;45;17;8;14;14;0;31;0;枪兵女;
15;30;46;16;8;15;15;0;30;0;枪圣;
15;31;47;17;8;15;15;0;31;0;枪圣女;
