22,04,00,07,07,00,04,00,09,05,58,佣兵,
20,03,00,06,09,02,02,00,08,05,55,佣兵女,
40,14,00,18,18,06,11,05,11,06,129,勇者,
36,12,00,18,20,09,09,07,10,06,127,勇者女,
58,24,00,29,29,12,18,10,11,06,197,,
52,21,00,30,31,16,16,14,10,06,196,,
19,04,00,09,09,01,03,00,08,05,58,剑士,
18,03,00,08,10,03,01,01,07,05,56,剑士女,
35,12,00,19,19,07,10,06,09,06,123,剑圣,
32,10,00,18,21,12,08,08,08,06,123,剑圣女,
51,20,00,29,29,13,17,12,09,06,186,,
46,17,00,28,32,21,15,15,08,06,188,,
20,04,00,05,05,01,03,00,07,05,50,弓箭手,
18,03,00,04,06,03,02,01,06,05,48,弓箭手女,
38,14,00,21,13,07,11,05,08,06,123,狙击手,
35,12,00,20,15,09,09,08,07,06,121,狙击手女,
56,24,00,37,21,13,19,10,08,06,194,,
53,21,00,36,24,15,16,15,07,06,193,,
22,05,00,02,00,00,09,00,13,05,56,重甲骑士,
20,04,00,03,01,02,07,01,11,05,54,重甲骑士女,
40,17,00,11,09,05,21,05,15,06,129,将军,
37,15,00,12,10,08,18,08,13,06,127,将军女,
58,29,00,20,18,10,33,10,15,06,199,,
54,26,00,21,19,14,29,15,13,06,197,,
22,05,00,02,05,00,06,00,09,07,56,轻骑士,
20,04,00,02,06,02,04,01,08,07,54,轻骑士女,
40,15,00,12,15,04,13,05,10,08,122,圣骑士,
37,13,00,15,16,07,10,07,09,08,122,圣骑士女,
58,25,00,22,25,08,20,10,10,08,186,,
54,22,00,28,26,12,16,13,09,08,188,,
17,03,00,01,09,03,02,00,06,06,47,盗贼,
16,02,00,01,10,05,01,01,05,06,47,盗贼女,
33,11,00,10,21,13,09,07,07,07,118,侠盗,
31,09,00,10,22,15,07,09,06,07,116,侠盗女,
49,19,00,19,33,23,16,14,07,07,187,,
46,16,00,19,34,25,13,17,06,07,183,,
33,11,00,10,21,13,09,07,07,06,117,刺客,
31,09,00,10,22,15,07,09,06,06,115,刺客女,
51,19,00,23,29,18,16,14,07,06,183,,
47,16,00,23,31,20,13,17,06,06,179,,
22,04,00,03,03,00,03,00,09,05,49,枪兵,
20,02,00,02,05,02,02,01,08,05,47,枪兵女,
41,15,00,13,15,05,13,05,12,06,125,枪圣,
38,13,00,13,17,09,11,06,11,06,124,枪圣女,
60,26,00,23,27,10,23,10,12,06,197,,
56,24,00,24,29,16,20,11,11,06,197,,
25,07,00,03,02,00,02,00,11,05,55,战士,
45,20,00,13,11,05,10,05,13,06,128,勇士,
65,33,00,23,20,10,18,10,13,06,198,,
26,07,00,00,05,00,02,00,12,05,57,山贼/海盗,
46,21,00,09,15,05,10,05,14,06,131,狂战士,
66,35,00,18,25,10,18,10,14,06,202,,
17,02,00,04,07,03,01,02,07,07,50,天马骑士,
32,10,00,14,20,12,08,13,09,08,126,隼骑士,
47,18,00,24,33,21,15,24,09,08,199,,
25,07,00,03,03,00,05,00,12,07,62,龙骑士,
22,05,00,03,04,02,03,00,10,07,56,龙骑士女,
45,19,00,13,11,05,15,05,13,08,134,龙骑统帅,
40,16,00,13,14,07,11,07,11,08,127,龙骑统帅女,
65,31,00,23,19,10,25,10,13,08,204,,
58,27,00,23,24,12,19,14,11,08,196,,
19,00,04,03,04,00,02,03,07,05,47,魔法师,
17,00,05,03,03,03,01,03,06,05,46,魔法师女,
34,00,14,15,13,05,09,12,08,06,116,贤者,
31,00,18,10,16,09,06,13,07,06,116,贤者女,
49,00,24,27,22,10,16,21,08,06,183,,
45,00,31,17,29,15,11,23,07,06,184,,
21,00,06,02,03,00,02,02,08,05,49,巫师,
19,00,06,01,03,02,01,03,07,05,47,巫师女,
37,00,19,13,11,05,10,13,09,06,123,德鲁伊,
34,00,21,10,13,08,07,15,08,06,122,德鲁伊女,
53,00,32,24,19,10,18,24,09,06,195,,
49,00,36,19,23,14,13,27,08,06,195,,
18,00,03,04,04,01,01,02,06,05,44,修道士,
16,00,03,01,02,05,00,03,05,05,40,修女,
33,00,14,15,14,06,08,14,07,06,117,司祭,
30,00,16,10,16,13,05,17,06,06,119,司祭女,
48,00,25,26,24,11,15,26,07,06,188,,
44,00,29,19,30,21,10,31,06,06,196,,
21,04,00,04,05,00,03,00,09,07,53,游牧民,
19,03,00,03,06,02,02,01,08,07,51,游牧民女,
38,13,00,13,15,06,10,07,10,08,120,游牧骑兵,
35,11,00,13,18,09,08,08,09,08,119,游牧骑兵女,
55,22,00,22,25,12,17,14,10,08,185,,
51,19,00,23,30,16,14,15,09,08,185,,
17,00,03,02,04,03,01,03,07,07,47,神官骑士,
33,00,13,13,17,11,07,13,08,08,123,女武神,
49,00,23,24,30,19,13,23,08,08,197,,
