01;02;00;00;佣兵;
01;02;03;04;勇者;
05;06;00;00;剑士;
05;06;07;08;剑圣;
09;10;00;00;弓箭手;
09;10;11;12;狙击手;
13;14;00;00;重甲骑士;
13;14;15;16;将军;
17;18;00;00;轻骑士;
17;18;19;20;圣骑士;
17;18;21;22;重骑士;
23;24;00;00;盗贼;
23;24;25;26;刺客;
23;24;27;28;侠盗;
29;30;00;00;枪兵;
29;30;31;32;枪圣;
33;34;00;00;战士;
33;34;35;36;勇士;
37;38;00;00;山贼/海盗;
37;38;39;40;狂战士;
41;42;00;00;天马骑士;
41;42;43;44;隼骑士;
45;46;00;00;龙骑士;
45;46;47;48;龙骑统帅;
45;46;49;50;翼龙骑士;
51;52;00;00;游牧民;
51;52;53;54;游牧骑兵;
51;52;00;00;魔法师;
51;52;53;54;贤者;
51;52;00;00;修道士;
51;52;00;00;修女;
51;52;53;54;司祭;
51;52;00;00;巫师;
51;52;53;54;德鲁伊;
51;52;53;54;召唤士;
51;52;00;00;神官骑士;
51;52;53;54;女武神;
