00,-1,-1,-1,-1,-1,-1,-1,佣兵,
50,-1,00,-1,-1,-1,-1,-1,勇者,
00,-1,-1,-1,-1,-1,-1,-1,剑士,
50,-1,-1,-1,-1,-1,-1,-1,剑圣,
-1,-1,-1,00,-1,-1,-1,-1,弓箭手,
-1,-1,-1,50,-1,-1,-1,-1,狙击手,
-1,00,-1,-1,-1,-1,-1,-1,重甲骑士,
-1,50,00,-1,-1,-1,-1,-1,将军,
00,00,-1,-1,-1,-1,-1,-1,轻骑士,
20,20,00,-1,-1,-1,-1,-1,圣骑士,
00,-1,-1,-1,-1,-1,-1,-1,盗贼,
50,-1,-1,-1,-1,-1,-1,-1,侠盗,
50,-1,-1,-1,-1,-1,-1,-1,刺客,
-1,00,-1,-1,-1,-1,-1,-1,枪兵,
-1,50,-1,-1,-1,-1,-1,-1,枪圣,
-1,-1,00,-1,-1,-1,-1,-1,战士,
-1,-1,50,00,-1,-1,-1,-1,勇士,
-1,-1,00,-1,-1,-1,-1,-1,山贼/海盗,
-1,-1,50,-1,-1,-1,-1,-1,狂战士,
-1,00,-1,-1,-1,-1,-1,-1,天马骑士,
00,50,-1,-1,-1,-1,-1,-1,隼骑士,
-1,00,-1,-1,-1,-1,-1,-1,龙骑士,
-1,50,00,-1,-1,-1,-1,-1,龙骑统帅,
-1,-1,-1,-1,00,-1,-1,-1,魔法师,
-1,-1,-1,-1,50,-1,-1,00,贤者,
-1,-1,-1,-1,-1,-1,00,-1,巫师,
-1,-1,-1,-1,-1,-1,50,00,德鲁伊,
-1,-1,-1,-1,-1,00,-1,-1,修道士,
-1,-1,-1,-1,-1,-1,-1,00,修女,
-1,-1,-1,-1,-1,20,-1,20,司祭,
-1,-1,-1,00,-1,-1,-1,-1,游牧民,
00,-1,-1,50,-1,-1,-1,-1,游牧骑兵,
-1,-1,-1,-1,-1,-1,-1,00,神官骑士,
-1,-1,-1,-1,00,-1,-1,50,女武神,
-1,-1,-1,-1,-1,-1,-1,-1,市民,
-1,-1,-1,-1,-1,-1,-1,-1,舞者,
